Ens_ID	ActA_wt_96h_rep1	ActA_wt_96h_rep2	ActA_BADC_96h_rep1	ActA_BADC_96h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_BADC_120h_rep1	ActA_BADC_120h_rep2
ENSMUSG00000044312	1	3	0	1	3	6	10	12
ENSMUSG00000044313	52	80	59	49	21	20	26	20
ENSMUSG00000044317	108	110	73	52	22	19	34	28
ENSMUSG00000044320	18	28	13	7	16	8	3	3
ENSMUSG00000044322	3	3	5	2	0	0	0	0
ENSMUSG00000044328	245	248	133	108	156	152	98	107
ENSMUSG00000044330	17	16	20	16	8	9	14	12
ENSMUSG00000044337	389	464	42	26	337	318	213	188
ENSMUSG00000044338	8001	9362	6944	4469	880	876	805	780
ENSMUSG00000044339	222	223	158	121	91	93	91	80
ENSMUSG00000044340	493	551	421	270	176	174	189	204
ENSMUSG00000044345	638	660	523	413	234	211	196	137
ENSMUSG00000044348	178	168	168	119	96	75	78	82
ENSMUSG00000044349	1225	1382	1088	661	967	914	356	341
ENSMUSG00000044350	174	197	168	103	77	50	56	43
ENSMUSG00000044352	19	15	6	9	2	3	10	17
ENSMUSG00000044359	1	0	0	0	0	0	0	0
ENSMUSG00000044361	0	0	0	0	15	18	1	1
ENSMUSG00000044362	22	19	25	22	8	12	7	12
ENSMUSG00000044364	23	18	16	12	4	5	7	3
ENSMUSG00000044365	122	143	108	62	265	230	169	139
ENSMUSG00000044367	1044	1264	897	591	276	241	201	218
ENSMUSG00000044375	0	0	0	0	0	0	0	0
ENSMUSG00000044377	4	8	2	4	1	1	3	0
ENSMUSG00000044378	0	0	3	0	0	0	0	0
ENSMUSG00000044387	5	6	6	2	1	0	0	0
ENSMUSG00000044390	42	59	48	27	50	48	47	23
ENSMUSG00000044393	1116	1363	437	309	129	131	30	36
ENSMUSG00000044400	11	15	13	8	0	3	1	0
ENSMUSG00000044405	0	1	0	0	3	3	0	0
ENSMUSG00000044408	1916	2379	1840	1261	865	841	872	781
ENSMUSG00000044424	105	139	107	84	15	20	12	12
ENSMUSG00000044429	0	1	1	0	0	0	1	0
ENSMUSG00000044430	0	0	0	0	0	0	0	0
ENSMUSG00000044433	1351	1544	911	738	731	750	229	183
ENSMUSG00000044434	5	7	12	17	2	2	5	2
ENSMUSG00000044441	0	0	0	0	0	0	0	0
ENSMUSG00000044442	584	763	647	362	343	300	308	283
ENSMUSG00000044444	0	0	0	0	0	0	0	0
ENSMUSG00000044447	552	630	404	305	390	381	409	363
ENSMUSG00000044452	1306	1446	1206	840	498	529	771	720
ENSMUSG00000044453	1	2	1	0	0	0	0	1
ENSMUSG00000044454	0	0	0	0	0	0	0	0
ENSMUSG00000044456	150	187	185	113	70	90	33	32
ENSMUSG00000044457	0	0	0	0	0	0	0	0
ENSMUSG00000044461	291	418	42	35	1694	1662	443	387
ENSMUSG00000044465	1354	1554	1409	958	748	741	932	766
ENSMUSG00000044468	73	89	102	64	32	31	19	16
ENSMUSG00000044469	45	50	13	3	24	37	16	25
ENSMUSG00000044471	6	5	1	0	0	1	0	0
ENSMUSG00000044475	984	1127	960	673	293	307	365	399
ENSMUSG00000044477	2282	2496	2208	1674	1033	945	1552	1411
ENSMUSG00000044485	1	1	0	0	0	0	0	0
ENSMUSG00000044487	0	0	0	0	0	0	0	0
ENSMUSG00000044496	1402	1549	1374	946	484	489	509	499
ENSMUSG00000044499	4	11	4	3	1	2	0	1
ENSMUSG00000044501	58	71	65	34	24	27	39	46
ENSMUSG00000044502	1931	2221	2075	1353	933	991	1238	1143
ENSMUSG00000044505	4	4	1	0	1	1	5	3
ENSMUSG00000044515	0	0	0	0	0	0	0	0
ENSMUSG00000044518	0	0	0	0	2	3	0	0
ENSMUSG00000044519	0	0	0	0	0	0	0	0
ENSMUSG00000044522	1	0	0	0	3	4	18	10
ENSMUSG00000044526	0	0	0	0	0	0	0	0
ENSMUSG00000044528	91	95	96	72	40	34	74	63
ENSMUSG00000044533	60204	66817	57759	38072	23881	22064	31102	29104
ENSMUSG00000044534	5	6	4	1	0	0	0	0
ENSMUSG00000044537	0	0	0	0	0	0	0	0
ENSMUSG00000044538	0	0	0	0	0	0	0	0
ENSMUSG00000044542	0	0	0	0	0	0	0	1
ENSMUSG00000044544	0	1	2	2	1	2	10	10
ENSMUSG00000044548	1150	1242	1265	804	1302	1334	3143	2802
ENSMUSG00000044550	14	14	12	5	4	0	1	4
ENSMUSG00000044551	107	135	95	62	54	39	22	29
ENSMUSG00000044556	8	5	4	8	4	6	4	2
ENSMUSG00000044560	0	0	0	0	0	0	0	0
ENSMUSG00000044562	51	56	25	10	42	42	32	46
ENSMUSG00000044566	44	47	34	27	11	28	19	16
ENSMUSG00000044573	1505	1694	1442	957	620	615	754	650
ENSMUSG00000044574	0	0	0	0	0	0	0	0
ENSMUSG00000044576	311	327	385	271	39	32	37	27
ENSMUSG00000044581	0	0	0	0	0	0	0	0
ENSMUSG00000044583	4	1	0	0	0	1	0	1
ENSMUSG00000044594	0	0	0	0	0	0	0	0
ENSMUSG00000044595	1117	1215	918	639	30	31	19	19
ENSMUSG00000044597	0	1	1	0	0	0	0	0
ENSMUSG00000044600	2273	2610	2209	1525	948	959	911	853
ENSMUSG00000044609	400	445	478	428	9	19	28	26
ENSMUSG00000044617	1260	1419	1074	829	660	638	838	699
ENSMUSG00000044624	2	2	0	0	0	0	0	0
ENSMUSG00000044626	40	64	40	22	17	16	5	3
ENSMUSG00000044627	6941	7862	6306	4687	3088	3137	3053	2843
ENSMUSG00000044628	119	114	47	41	47	42	12	10
ENSMUSG00000044629	38	46	21	12	25	35	10	12
ENSMUSG00000044633	4	2	1	0	3	4	0	1
ENSMUSG00000044636	433	454	402	241	242	246	335	304
ENSMUSG00000044639	0	0	0	0	0	0	0	0
ENSMUSG00000044641	652	738	496	360	244	251	97	91
ENSMUSG00000044645	4	11	10	10	5	5	6	4
ENSMUSG00000044646	22	26	12	7	14	19	24	16
ENSMUSG00000044647	173	170	153	125	88	73	55	55
ENSMUSG00000044649	0	0	0	0	0	0	0	0
ENSMUSG00000044664	9	9	10	9	8	6	2	3
ENSMUSG00000044667	6	6	2	2	0	0	1	0
ENSMUSG00000044674	464	515	410	338	325	290	584	553
ENSMUSG00000044676	119	151	118	85	95	93	85	66
ENSMUSG00000044678	0	0	1	0	0	0	0	0
ENSMUSG00000044681	1378	1515	1985	1331	135	114	92	73
ENSMUSG00000044689	0	0	0	0	0	0	0	0
ENSMUSG00000044694	2	3	0	0	6	5	2	1
ENSMUSG00000044697	0	0	0	0	0	0	0	0
ENSMUSG00000044700	2115	2369	2008	1472	1224	1113	1567	1358
ENSMUSG00000044701	0	0	0	0	0	0	0	0
ENSMUSG00000044702	510	628	479	372	278	302	386	346
ENSMUSG00000044703	1	0	0	0	0	0	0	0
ENSMUSG00000044705	1	0	0	0	0	0	0	0
ENSMUSG00000044707	530	631	436	344	217	218	276	276
ENSMUSG00000044708	7	10	9	2	3	7	6	3
ENSMUSG00000044709	1007	1198	1016	695	479	476	451	422
ENSMUSG00000044712	494	555	424	278	216	222	279	259
ENSMUSG00000044715	474	582	422	322	324	371	250	280
ENSMUSG00000044716	19	31	13	4	3	9	2	5
ENSMUSG00000044719	11	12	6	1	5	4	1	1
ENSMUSG00000044724	0	1	2	1	1	0	0	0
ENSMUSG00000044726	0	3	0	2	0	0	0	0
ENSMUSG00000044730	348	328	346	233	287	320	386	328
ENSMUSG00000044734	9	12	8	3	4	3	6	7
ENSMUSG00000044737	4	2	7	3	8	9	5	4
ENSMUSG00000044743	0	0	0	0	0	0	0	0
ENSMUSG00000044748	0	1	1	2	0	0	0	0
ENSMUSG00000044749	0	0	1	0	0	0	1	0
ENSMUSG00000044751	76	67	91	71	10	24	20	16
ENSMUSG00000044757	55	71	64	68	7	5	10	11
ENSMUSG00000044763	744	854	734	531	270	256	318	298
ENSMUSG00000044768	280	298	210	141	93	101	115	100
ENSMUSG00000044770	1	1	0	1	4	2	2	2
ENSMUSG00000044772	0	0	0	0	0	0	0	0
ENSMUSG00000044783	5071	5494	4669	3146	3639	3677	4077	3643
ENSMUSG00000044786	170	233	202	156	38	39	19	16
ENSMUSG00000044787	1	1	0	0	0	0	0	0
ENSMUSG00000044788	67	68	32	19	24	18	8	6
ENSMUSG00000044791	2338	2598	2082	1474	997	917	1430	1360
ENSMUSG00000044792	859	945	853	581	297	324	471	441
ENSMUSG00000044795	253	327	223	161	129	117	129	129
ENSMUSG00000044798	0	0	0	0	0	0	0	0
ENSMUSG00000044801	2	1	0	0	0	0	0	0
ENSMUSG00000044807	428	505	398	294	351	327	422	423
ENSMUSG00000044811	0	0	0	0	0	0	0	0
ENSMUSG00000044813	1371	1486	1052	810	147	153	136	105
ENSMUSG00000044814	0	0	0	0	0	0	0	0
ENSMUSG00000044816	37	36	13	8	6	11	6	4
ENSMUSG00000044819	0	0	0	0	0	0	0	0
ENSMUSG00000044820	0	0	0	0	2	1	0	0
ENSMUSG00000044824	0	0	0	0	0	0	0	0
ENSMUSG00000044827	0	0	0	0	0	0	0	0
ENSMUSG00000044835	29	31	16	13	9	7	8	11
ENSMUSG00000044847	401	505	374	217	296	284	370	314
ENSMUSG00000044854	28	25	17	14	8	7	4	3
ENSMUSG00000044857	856	915	842	644	652	665	774	695
ENSMUSG00000044860	5	2	0	0	0	4	0	0
ENSMUSG00000044863	0	0	0	0	1	1	0	0
ENSMUSG00000044864	1386	1552	1242	870	689	627	756	641
ENSMUSG00000044867	0	0	0	1	3	2	0	0
ENSMUSG00000044876	870	941	809	525	408	395	549	505
ENSMUSG00000044881	216	265	135	114	134	152	129	101
ENSMUSG00000044894	2207	2644	2388	1653	1134	1081	1079	922
ENSMUSG00000044897	0	0	0	0	0	0	0	0
ENSMUSG00000044899	0	0	0	0	0	0	0	0
ENSMUSG00000044903	0	0	0	0	0	0	0	0
ENSMUSG00000044906	444	510	510	334	319	305	374	383
ENSMUSG00000044912	3	2	0	0	4	4	1	2
ENSMUSG00000044916	5	6	5	1	8	6	5	4
ENSMUSG00000044921	98	126	65	41	60	48	42	37
ENSMUSG00000044923	0	0	0	0	0	0	0	0
ENSMUSG00000044927	1269	1399	1172	902	591	541	804	659
ENSMUSG00000044933	14	6	0	0	0	2	0	0
ENSMUSG00000044934	541	610	470	360	238	231	260	234
ENSMUSG00000044937	156	131	117	87	94	78	91	84
ENSMUSG00000044938	0	0	0	0	0	0	0	0
ENSMUSG00000044948	27	45	26	9	9	10	1	4
ENSMUSG00000044949	434	497	389	289	277	275	417	349
ENSMUSG00000044950	563	632	634	396	372	339	517	438
ENSMUSG00000044951	2	2	1	0	1	0	2	1
ENSMUSG00000044952	61	73	51	29	18	22	31	25
ENSMUSG00000044957	2	3	1	0	0	0	0	1
ENSMUSG00000044966	35	52	41	30	43	32	53	45
ENSMUSG00000044968	174	201	138	107	44	37	32	35
ENSMUSG00000044976	2	6	0	1	7	3	2	0
ENSMUSG00000044982	229	284	183	116	96	83	95	100
ENSMUSG00000044985	0	0	0	0	0	0	0	0
ENSMUSG00000044986	219	269	192	142	88	71	54	55
ENSMUSG00000044988	0	0	0	0	0	0	0	0
ENSMUSG00000044991	286	329	271	157	184	151	138	137
ENSMUSG00000044994	0	0	0	0	0	0	0	0
ENSMUSG00000044997	0	2	1	4	3	0	2	0
ENSMUSG00000045004	2	0	0	0	0	0	0	0
ENSMUSG00000045005	1560	2148	522	385	1216	1130	60	63
ENSMUSG00000045007	10	10	10	6	5	3	6	2
ENSMUSG00000045008	2	4	2	2	8	9	12	3
ENSMUSG00000045009	117	136	112	76	36	35	55	41
ENSMUSG00000045010	12	22	10	9	6	8	4	6
ENSMUSG00000045013	0	0	0	0	0	0	0	0
ENSMUSG00000045019	0	2	0	0	0	0	0	0
ENSMUSG00000045022	0	0	0	0	0	0	0	0
ENSMUSG00000045027	16	18	16	7	23	23	40	38
ENSMUSG00000045030	0	0	0	0	0	0	0	0
ENSMUSG00000045031	40	43	23	17	12	10	19	13
ENSMUSG00000045034	25	32	33	21	3	1	1	4
ENSMUSG00000045036	0	0	1	1	0	1	0	1
ENSMUSG00000045038	306	316	165	119	123	118	137	114
ENSMUSG00000045039	3191	3477	2950	2075	1365	1346	1684	1477
ENSMUSG00000045045	1947	2143	1817	1261	1440	1367	1691	1608
ENSMUSG00000045048	0	0	0	1	0	0	1	0
ENSMUSG00000045052	0	0	0	0	0	0	0	0
ENSMUSG00000045053	15	14	6	6	2	3	2	1
ENSMUSG00000045055	123	148	120	107	41	37	52	31
ENSMUSG00000045062	0	0	3	5	2	3	3	2
ENSMUSG00000045064	34	26	8	6	11	7	9	6
ENSMUSG00000045065	0	0	0	0	0	0	0	0
ENSMUSG00000045071	699	769	1038	765	426	401	746	665
ENSMUSG00000045075	0	3	3	0	4	5	4	3
ENSMUSG00000045078	1529	1766	1454	977	501	477	697	698
ENSMUSG00000045083	0	0	0	0	0	0	0	1
ENSMUSG00000045087	92	90	54	30	5	6	49	26
ENSMUSG00000045091	0	0	0	0	0	0	0	0
ENSMUSG00000045092	4	13	6	6	10	13	15	15
ENSMUSG00000045094	9	11	13	5	6	3	4	0
ENSMUSG00000045095	1033	1202	1207	845	459	460	903	786
ENSMUSG00000045098	1249	1457	1395	950	765	770	839	828
ENSMUSG00000045100	256	296	237	161	94	89	98	109
ENSMUSG00000045102	7	15	9	8	10	9	2	12
ENSMUSG00000045103	408	446	484	334	270	241	124	103
ENSMUSG00000045104	29	30	47	35	2	3	2	5
ENSMUSG00000045106	4	10	2	5	4	6	4	8
ENSMUSG00000045107	88	89	86	79	77	58	49	49
ENSMUSG00000045109	0	0	0	0	0	0	0	0
ENSMUSG00000045111	0	0	0	0	0	0	0	0
ENSMUSG00000045114	109	129	94	62	229	226	126	142
ENSMUSG00000045126	0	0	0	0	0	0	0	0
ENSMUSG00000045128	28240	33096	24971	16216	13486	12969	16013	14245
ENSMUSG00000045132	0	0	0	0	0	0	0	0
ENSMUSG00000045136	2722	3100	2376	1626	1157	1073	1356	1254
ENSMUSG00000045140	314	369	306	214	198	198	211	215
ENSMUSG00000045148	0	0	0	0	0	0	0	0
ENSMUSG00000045150	0	0	0	0	0	0	0	0
ENSMUSG00000045160	552	647	600	400	216	192	212	195
ENSMUSG00000045165	13	23	12	8	6	4	5	3
ENSMUSG00000045174	25	33	17	7	4	6	2	0
ENSMUSG00000045176	184	174	202	120	61	54	66	61
ENSMUSG00000045178	0	0	0	0	0	0	0	0
ENSMUSG00000045179	672	658	695	562	135	123	37	45
ENSMUSG00000045180	1107	1248	1198	939	215	199	188	162
ENSMUSG00000045193	2595	2910	2525	1737	1401	1550	1381	1483
ENSMUSG00000045201	66	106	35	31	27	26	22	23
ENSMUSG00000045202	0	0	0	0	0	0	0	0
ENSMUSG00000045204	0	0	0	0	0	0	0	0
ENSMUSG00000045205	969	1199	945	680	544	503	581	563
ENSMUSG00000045210	742	877	866	604	363	332	523	457
ENSMUSG00000045211	100	117	93	64	26	23	13	15
ENSMUSG00000045215	332	326	158	100	273	298	267	252
ENSMUSG00000045216	736	830	502	380	437	398	673	635
ENSMUSG00000045217	0	0	0	0	0	0	0	0
ENSMUSG00000045225	0	0	0	0	0	0	0	0
ENSMUSG00000045231	140	173	144	93	45	52	70	45
ENSMUSG00000045232	8	21	2	0	4	2	0	0
ENSMUSG00000045236	0	0	0	0	0	0	0	0
ENSMUSG00000045237	950	1102	1395	935	206	203	215	171
ENSMUSG00000045238	50	53	61	32	8	5	18	11
ENSMUSG00000045246	2	0	0	0	1	0	3	1
ENSMUSG00000045248	488	579	461	315	178	147	319	279
ENSMUSG00000045251	353	403	502	333	148	172	213	199
ENSMUSG00000045252	927	1036	957	759	441	438	571	499
ENSMUSG00000045257	129	142	98	89	64	69	78	69
ENSMUSG00000045259	49	64	29	16	23	32	25	22
ENSMUSG00000045267	0	0	0	0	0	0	0	0
ENSMUSG00000045268	190	223	214	157	140	145	205	146
ENSMUSG00000045273	1050	1234	1106	749	560	499	699	662
ENSMUSG00000045275	12	14	3	6	2	6	1	6
ENSMUSG00000045281	30	23	24	10	13	2	22	12
ENSMUSG00000045282	220	263	151	107	182	201	146	142
ENSMUSG00000045284	142	163	112	93	22	23	61	38
ENSMUSG00000045287	51	80	47	31	31	28	13	23
ENSMUSG00000045288	2	2	4	4	0	0	1	1
ENSMUSG00000045291	1	0	0	1	1	0	0	0
ENSMUSG00000045294	5198	6116	5753	3821	2155	2003	2508	2238
ENSMUSG00000045302	2263	2472	1874	1221	1312	1173	1388	1306
ENSMUSG00000045306	0	0	0	0	0	0	0	0
ENSMUSG00000045312	634	735	402	266	1289	1281	2151	1978
ENSMUSG00000045314	53	46	49	38	29	33	43	43
ENSMUSG00000045316	231	277	200	132	73	103	126	122
ENSMUSG00000045318	11	17	3	7	2	1	0	0
ENSMUSG00000045319	85	121	50	36	24	32	37	33
ENSMUSG00000045322	0	0	1	1	1	0	1	0
ENSMUSG00000045326	2	2	3	0	4	4	4	5
ENSMUSG00000045327	32	40	34	32	13	11	10	5
ENSMUSG00000045328	991	1194	738	534	610	599	724	745
ENSMUSG00000045330	7	5	1	2	9	11	0	1
ENSMUSG00000045331	0	0	0	0	0	0	0	0
ENSMUSG00000045333	1357	1464	1299	972	603	543	1258	1078
ENSMUSG00000045336	0	0	0	0	0	0	0	0
ENSMUSG00000045337	0	0	0	0	0	0	0	0
ENSMUSG00000045339	0	0	0	0	0	0	0	0
ENSMUSG00000045340	0	0	0	0	0	0	0	0
ENSMUSG00000045341	0	0	0	0	0	0	0	0
ENSMUSG00000045345	1	3	4	0	2	1	1	1
ENSMUSG00000045348	239	298	213	131	175	163	130	132
ENSMUSG00000045349	137	137	61	46	19	14	20	22
ENSMUSG00000045350	2	0	0	1	0	0	1	0
ENSMUSG00000045362	2	9	3	3	1	0	2	2
ENSMUSG00000045364	0	0	0	0	0	0	0	0
ENSMUSG00000045374	525	564	533	360	324	305	335	293
ENSMUSG00000045377	605	664	558	387	120	100	80	78
ENSMUSG00000045378	3	6	3	2	0	0	1	0
ENSMUSG00000045381	0	0	0	0	0	0	0	0
ENSMUSG00000045382	1340	1737	215	99	1114	1066	1355	1216
ENSMUSG00000045391	2	0	0	0	0	0	1	0
ENSMUSG00000045392	4	2	3	4	0	0	0	0
ENSMUSG00000045394	2958	3603	2562	1894	671	657	89	62
ENSMUSG00000045395	0	0	0	0	0	0	0	0
ENSMUSG00000045404	13	14	8	1	3	2	2	3
ENSMUSG00000045409	639	763	689	487	586	543	689	606
ENSMUSG00000045410	358	402	303	181	144	156	142	156
ENSMUSG00000045411	3996	4350	4864	3228	3331	3162	3322	2990
ENSMUSG00000045414	2542	3027	4813	3516	333	299	398	359
ENSMUSG00000045417	0	0	0	0	0	0	0	0
ENSMUSG00000045421	0	0	0	0	0	0	0	0
ENSMUSG00000045427	2880	3212	2323	1762	953	966	1419	1367
ENSMUSG00000045435	524	571	527	370	171	199	203	182
ENSMUSG00000045438	520	610	530	370	407	335	423	422
ENSMUSG00000045440	0	0	0	0	0	0	0	0
ENSMUSG00000045441	0	2	1	0	3	1	0	0
ENSMUSG00000045455	6	9	7	4	2	3	5	3
ENSMUSG00000045463	0	0	0	0	0	0	0	0
ENSMUSG00000045464	78	79	63	29	25	33	28	33
ENSMUSG00000045466	202	219	237	130	90	68	77	78
ENSMUSG00000045467	27	26	28	9	14	15	7	8
ENSMUSG00000045471	2	4	1	0	0	0	1	0
ENSMUSG00000045474	0	0	0	0	0	0	0	0
ENSMUSG00000045475	0	0	0	0	0	0	0	0
ENSMUSG00000045479	0	0	0	0	0	0	0	0
ENSMUSG00000045482	2817	3013	2280	1832	1745	1688	1938	1723
ENSMUSG00000045493	1	0	2	0	0	0	0	1
ENSMUSG00000045498	6	14	9	11	10	14	11	14
ENSMUSG00000045502	0	0	0	0	0	0	0	0
ENSMUSG00000045503	891	1048	694	505	377	365	384	350
ENSMUSG00000045506	7	6	2	7	8	3	5	2
ENSMUSG00000045508	0	0	0	0	0	0	0	0
ENSMUSG00000045509	3	5	0	2	2	0	0	3
ENSMUSG00000045514	3	3	1	0	1	0	0	0
ENSMUSG00000045515	5	0	5	4	9	11	23	17
ENSMUSG00000045518	1	0	2	0	1	3	2	2
ENSMUSG00000045519	108	141	116	72	65	68	61	48
ENSMUSG00000045521	0	0	0	0	0	0	0	0
ENSMUSG00000045528	0	0	0	0	0	0	0	0
ENSMUSG00000045532	89	79	66	54	64	40	42	36
ENSMUSG00000045534	36	38	48	38	28	25	14	12
ENSMUSG00000045538	560	709	509	362	227	216	294	280
ENSMUSG00000045539	0	0	0	0	0	0	0	0
ENSMUSG00000045540	0	0	0	0	0	0	0	0
ENSMUSG00000045545	1	0	0	0	0	0	0	0
ENSMUSG00000045551	0	0	0	0	0	0	0	0
ENSMUSG00000045555	39	36	37	41	11	6	4	6
ENSMUSG00000045559	0	0	0	0	0	0	0	0
ENSMUSG00000045566	0	0	0	0	0	0	0	0
ENSMUSG00000045569	0	0	0	0	8	0	0	0
ENSMUSG00000045573	134	179	193	114	17	15	9	5
ENSMUSG00000045575	0	0	0	0	0	0	0	0
ENSMUSG00000045576	310	312	254	160	195	199	186	174
ENSMUSG00000045581	0	0	0	0	0	0	0	0
ENSMUSG00000045584	0	0	0	0	0	0	0	0
ENSMUSG00000045587	0	0	0	0	0	0	0	0
ENSMUSG00000045589	7	7	5	6	3	5	2	2
ENSMUSG00000045591	20	24	1	1	6	10	0	0
ENSMUSG00000045594	674	806	527	429	175	167	185	130
ENSMUSG00000045598	1257	1501	1428	1135	728	748	1453	1358
ENSMUSG00000045608	6	3	2	0	2	3	3	0
ENSMUSG00000045609	2	2	4	4	0	0	0	0
ENSMUSG00000045613	0	0	2	0	1	1	0	0
ENSMUSG00000045620	0	0	2	0	0	2	0	0
ENSMUSG00000045624	1313	1543	1309	902	361	400	694	625
ENSMUSG00000045625	1	0	1	0	0	1	0	1
ENSMUSG00000045629	2	0	0	2	1	1	1	0
ENSMUSG00000045631	3	2	2	4	0	1	0	0
ENSMUSG00000045636	384	414	320	212	118	117	69	66
ENSMUSG00000045639	892	1061	1411	868	1137	1097	1653	1471
ENSMUSG00000045648	0	0	0	0	0	0	0	0
ENSMUSG00000045655	0	0	0	0	0	0	0	0
ENSMUSG00000045657	2	1	0	0	2	1	0	2
ENSMUSG00000045658	1207	1299	1428	1079	98	83	94	95
ENSMUSG00000045659	1249	1423	1230	805	727	745	390	346
ENSMUSG00000045662	4	8	9	5	7	6	5	5
ENSMUSG00000045664	9	17	8	7	6	5	3	2
ENSMUSG00000045665	1219	1393	1163	835	379	350	485	426
ENSMUSG00000045667	346	430	176	163	218	217	523	447
ENSMUSG00000045671	4396	4678	4252	3258	723	694	1437	1278
ENSMUSG00000045672	299	315	224	151	212	199	167	175
ENSMUSG00000045678	0	0	0	0	0	0	0	0
ENSMUSG00000045679	354	389	248	178	79	62	54	42
ENSMUSG00000045680	1	0	1	0	12	8	0	1
ENSMUSG00000045684	0	0	0	0	0	0	0	0
ENSMUSG00000045689	4	5	4	3	5	4	3	2
ENSMUSG00000045690	433	462	316	245	108	104	165	131
ENSMUSG00000045691	387	423	370	260	233	206	210	196
ENSMUSG00000045693	0	0	0	0	0	0	0	0
ENSMUSG00000045694	125	185	168	150	8	8	11	9
ENSMUSG00000045699	66	69	30	27	24	9	10	6
ENSMUSG00000045708	0	0	0	0	0	0	0	0
ENSMUSG00000045709	18	19	2	2	2	0	5	2
ENSMUSG00000045725	4	14	7	6	7	1	0	8
ENSMUSG00000045730	24	33	20	15	63	69	212	192
ENSMUSG00000045731	3	0	1	0	6	10	0	0
ENSMUSG00000045733	0	0	0	0	1	2	0	0
ENSMUSG00000045744	1	3	3	4	5	7	8	4
ENSMUSG00000045746	0	3	3	2	5	5	1	0
ENSMUSG00000045751	1814	2003	1992	1355	669	635	855	803
ENSMUSG00000045752	1333	1470	1210	795	807	864	959	877
ENSMUSG00000045757	150	177	145	106	94	89	83	63
ENSMUSG00000045761	1	0	0	0	1	2	5	5
ENSMUSG00000045763	2137	2423	1724	1244	645	650	478	483
ENSMUSG00000045767	2507	2938	2895	1883	1755	1746	2358	2100
ENSMUSG00000045775	2	6	2	0	1	1	3	2
ENSMUSG00000045776	4	4	3	1	3	0	7	7
ENSMUSG00000045777	2	5	1	0	0	1	5	6
ENSMUSG00000045780	0	0	0	0	0	0	0	0
ENSMUSG00000045790	65	67	42	22	14	22	3	11
ENSMUSG00000045792	0	0	0	0	0	0	0	0
ENSMUSG00000045794	0	0	0	0	0	0	0	0
ENSMUSG00000045795	124	148	124	87	38	41	19	14
ENSMUSG00000045797	0	0	0	0	0	0	0	0
ENSMUSG00000045799	423	560	517	439	47	63	74	97
ENSMUSG00000045802	1	1	2	1	0	0	1	0
ENSMUSG00000045812	0	0	0	0	0	0	0	0
ENSMUSG00000045813	5	4	6	2	7	11	10	4
ENSMUSG00000045815	0	0	0	0	0	0	0	0
ENSMUSG00000045817	2369	2559	2433	1815	539	516	987	824
ENSMUSG00000045822	205	222	184	118	83	74	82	72
ENSMUSG00000045824	0	0	0	0	0	0	0	0
ENSMUSG00000045826	2	3	1	2	0	5	1	0
ENSMUSG00000045827	230	280	371	245	29	23	96	90
ENSMUSG00000045835	0	0	0	0	0	0	0	0
ENSMUSG00000045838	5	7	2	0	4	4	3	1
ENSMUSG00000045842	9	7	5	7	0	4	1	3
ENSMUSG00000045854	322	368	294	213	154	183	185	175
ENSMUSG00000045867	198	227	179	103	64	74	92	89
ENSMUSG00000045868	0	0	0	0	0	0	0	0
ENSMUSG00000045871	2	0	7	3	3	2	0	0
ENSMUSG00000045875	3	3	2	1	2	5	11	14
ENSMUSG00000045876	14	10	18	18	2	7	9	1
ENSMUSG00000045877	62	63	51	36	23	33	28	28
ENSMUSG00000045883	0	0	0	0	0	0	0	0
ENSMUSG00000045886	7	9	10	10	2	2	3	2
ENSMUSG00000045896	3360	3744	2945	2033	892	882	1190	1120
ENSMUSG00000045903	5	8	6	5	1	3	1	3
ENSMUSG00000045912	46	52	36	14	21	14	17	18
ENSMUSG00000045915	0	1	0	0	0	0	1	2
ENSMUSG00000045917	254	260	171	125	94	110	158	124
ENSMUSG00000045928	0	1	0	0	4	2	0	1
ENSMUSG00000045930	5	4	4	5	2	2	0	2
ENSMUSG00000045932	94	108	114	75	29	36	55	50
ENSMUSG00000045934	483	553	523	398	212	210	170	139
ENSMUSG00000045942	5	3	5	2	2	3	2	8
ENSMUSG00000045948	821	936	792	533	346	333	361	339
ENSMUSG00000045952	2	1	3	4	0	0	0	0
ENSMUSG00000045954	2	0	0	0	0	1	0	0
ENSMUSG00000045962	6583	6959	4866	3619	1928	1853	2861	2396
ENSMUSG00000045967	0	0	0	0	0	0	0	1
ENSMUSG00000045968	5	8	1	1	3	1	2	0
ENSMUSG00000045969	1511	1637	1352	933	664	668	844	775
ENSMUSG00000045973	1471	1582	1342	956	637	609	794	777
ENSMUSG00000045975	462	593	478	318	187	194	302	247
ENSMUSG00000045980	267	281	142	120	92	86	129	87
ENSMUSG00000045983	20549	22967	18279	13432	6882	6730	11907	10761
ENSMUSG00000045989	0	0	0	0	0	0	0	0
ENSMUSG00000045991	88	94	76	55	65	55	46	36
ENSMUSG00000045994	18	31	16	8	47	45	34	31
ENSMUSG00000045996	171	211	161	150	75	103	65	76
ENSMUSG00000046000	4	3	0	0	1	0	0	0
ENSMUSG00000046005	0	1	0	0	0	0	0	0
ENSMUSG00000046006	0	0	0	0	0	0	0	0
ENSMUSG00000046008	2	1	0	0	2	1	1	0
ENSMUSG00000046010	456	526	447	299	184	204	202	192
ENSMUSG00000046016	0	0	0	0	0	0	0	0
ENSMUSG00000046020	1162	1269	1119	762	607	647	819	767
