Ens_ID	wt_120h_rep1	wt_120h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_wt_96h_rep1	ActA_wt_96h_rep2	wt_96h_rep1	wt_96h_rep2
ENSMUSG00000047714	1363	1016	1020	1017	3188	3666	1959	2751
ENSMUSG00000047716	0	0	0	0	0	0	0	0
ENSMUSG00000047719	636	437	445	439	989	1197	1194	1634
ENSMUSG00000047720	0	0	0	0	0	0	0	0
ENSMUSG00000047721	655	478	546	576	868	1097	776	1238
ENSMUSG00000047728	0	1	8	5	0	0	2	2
ENSMUSG00000047730	0	6	85	71	42	67	8	12
ENSMUSG00000047731	1060	807	888	824	2170	2506	1782	2420
ENSMUSG00000047733	6	3	9	8	8	7	7	4
ENSMUSG00000047735	7	4	6	12	225	228	13	14
ENSMUSG00000047746	2	0	2	1	1	1	7	8
ENSMUSG00000047747	112	59	40	34	76	75	126	175
ENSMUSG00000047749	1049	805	692	646	1264	1365	2781	3684
ENSMUSG00000047751	137	112	48	51	725	724	217	454
ENSMUSG00000047757	203	202	133	134	228	268	233	295
ENSMUSG00000047759	128	81	50	41	18	10	115	83
ENSMUSG00000047766	377	286	239	224	355	450	603	766
ENSMUSG00000047767	186	115	145	156	146	191	121	170
ENSMUSG00000047773	9	5	10	15	1	2	1	1
ENSMUSG00000047777	480	379	321	301	451	601	463	605
ENSMUSG00000047786	42	44	11	14	25	23	137	248
ENSMUSG00000047787	24	36	18	32	11	9	37	62
ENSMUSG00000047789	388	337	260	249	478	526	326	412
ENSMUSG00000047793	174	180	66	77	147	119	150	141
ENSMUSG00000047794	0	0	0	0	0	0	0	0
ENSMUSG00000047797	0	2	0	0	1	0	2	1
ENSMUSG00000047798	0	1	0	1	2	2	2	2
ENSMUSG00000047799	0	0	0	0	0	0	0	0
ENSMUSG00000047804	513	425	389	364	911	971	784	1076
ENSMUSG00000047807	0	4	4	5	0	1	1	0
ENSMUSG00000047810	8	4	30	25	60	63	34	53
ENSMUSG00000047819	0	0	0	1	0	1	0	0
ENSMUSG00000047821	17	13	10	10	11	10	63	91
ENSMUSG00000047822	0	0	0	0	0	0	0	1
ENSMUSG00000047824	1332	1123	1122	1128	2295	2526	1881	2733
ENSMUSG00000047828	0	0	0	0	0	0	0	0
ENSMUSG00000047832	1557	1220	1157	1141	2678	2976	2724	3990
ENSMUSG00000047841	0	1	0	1	4	6	2	1
ENSMUSG00000047842	3	2	1	1	10	11	5	12
ENSMUSG00000047843	659	505	580	576	1103	1313	859	1190
ENSMUSG00000047844	456	342	279	303	2279	2796	946	1454
ENSMUSG00000047854	0	0	0	0	0	0	0	0
ENSMUSG00000047861	0	0	0	0	0	0	0	1
ENSMUSG00000047866	577	430	343	369	1005	1096	856	1229
ENSMUSG00000047867	2	1	2	6	1	0	0	1
ENSMUSG00000047868	0	0	0	0	0	0	0	0
ENSMUSG00000047875	18	18	42	40	125	146	90	166
ENSMUSG00000047878	16	7	156	131	240	329	81	121
ENSMUSG00000047879	1922	1552	1423	1333	4089	5032	4015	5670
ENSMUSG00000047880	0	0	0	1	0	0	0	0
ENSMUSG00000047881	232	192	272	271	907	1114	562	753
ENSMUSG00000047884	0	0	0	0	1	0	0	0
ENSMUSG00000047888	878	597	705	688	1572	1687	1587	1862
ENSMUSG00000047889	0	0	0	0	0	0	0	0
ENSMUSG00000047894	0	0	1	1	1	0	0	0
ENSMUSG00000047897	71	59	56	56	2	0	283	198
ENSMUSG00000047898	5	3	8	4	9	9	12	11
ENSMUSG00000047904	5	3	28	28	5	6	24	34
ENSMUSG00000047905	29	20	22	18	48	54	23	26
ENSMUSG00000047907	151	108	137	143	24	27	139	144
ENSMUSG00000047909	617	566	793	793	521	570	543	681
ENSMUSG00000047910	32	34	25	22	2	11	33	41
ENSMUSG00000047911	18	16	22	15	14	20	16	24
ENSMUSG00000047921	301	206	207	227	790	928	676	1122
ENSMUSG00000047935	7	9	19	25	2	1	0	1
ENSMUSG00000047938	0	1	1	1	0	1	0	3
ENSMUSG00000047940	0	0	0	0	1	0	0	0
ENSMUSG00000047945	11086	8638	6133	5764	14759	17413	18451	28226
ENSMUSG00000047953	1	2	0	3	5	14	1	2
ENSMUSG00000047959	12	12	24	13	25	15	38	42
ENSMUSG00000047960	0	0	0	0	0	0	0	0
ENSMUSG00000047963	64	67	111	114	158	202	143	250
ENSMUSG00000047965	32	29	38	37	158	188	47	91
ENSMUSG00000047969	0	0	0	0	0	0	0	0
ENSMUSG00000047976	0	0	5	2	57	52	8	21
ENSMUSG00000047977	0	0	0	0	0	0	0	0
ENSMUSG00000047980	0	0	0	0	0	0	0	0
ENSMUSG00000047986	39	35	46	49	190	213	98	187
ENSMUSG00000047988	1	0	0	1	2	2	3	1
ENSMUSG00000047989	428	363	448	430	1640	1865	997	1513
ENSMUSG00000047990	0	0	5	2	2	0	2	1
ENSMUSG00000047992	25	15	27	37	54	73	24	39
ENSMUSG00000047995	0	0	0	0	0	0	0	0
ENSMUSG00000047996	39	37	48	20	40	43	78	86
ENSMUSG00000048000	722	689	576	534	1470	1737	1444	2051
ENSMUSG00000048001	136	98	57	55	13	5	487	725
ENSMUSG00000048003	0	0	2	2	1	3	1	0
ENSMUSG00000048004	0	0	0	2	0	0	1	0
ENSMUSG00000048007	147	121	107	116	390	435	339	535
ENSMUSG00000048012	114	81	56	63	158	184	187	214
ENSMUSG00000048013	3	1	2	1	0	0	2	5
ENSMUSG00000048015	0	0	2	2	0	0	1	0
ENSMUSG00000048022	45	52	37	48	221	245	370	441
ENSMUSG00000048027	1392	1049	344	353	505	577	338	487
ENSMUSG00000048029	20	11	30	26	87	127	36	74
ENSMUSG00000048031	0	0	0	0	0	0	0	1
ENSMUSG00000048038	4	2	9	15	38	46	1	1
ENSMUSG00000048039	1225	939	829	898	2495	2867	2048	3024
ENSMUSG00000048040	272	219	303	254	702	853	633	931
ENSMUSG00000048047	758	608	404	424	1022	1294	1366	1609
ENSMUSG00000048058	964	668	789	738	1672	2057	1808	2275
ENSMUSG00000048062	0	0	0	0	0	0	0	0
ENSMUSG00000048065	3	3	4	6	10	7	6	6
ENSMUSG00000048067	0	1	5	6	8	8	1	2
ENSMUSG00000048070	1	1	5	3	4	2	0	2
ENSMUSG00000048076	4984	3835	3716	3638	11521	13509	10080	15638
ENSMUSG00000048077	0	0	0	0	0	0	0	0
ENSMUSG00000048078	1848	1303	1173	1157	531	573	3151	3334
ENSMUSG00000048080	0	0	0	0	0	0	0	0
ENSMUSG00000048087	1541	1298	1022	1033	3732	4097	3041	4541
ENSMUSG00000048096	15	7	7	0	9	23	5	8
ENSMUSG00000048100	256	222	179	160	475	538	460	628
ENSMUSG00000048101	0	0	0	0	0	0	0	0
ENSMUSG00000048106	354	279	225	231	404	492	461	628
ENSMUSG00000048108	0	1	0	2	1	0	0	1
ENSMUSG00000048109	388	294	280	349	667	783	530	855
ENSMUSG00000048118	248	189	163	169	231	280	286	348
ENSMUSG00000048120	25	21	19	21	12	16	28	34
ENSMUSG00000048126	2	3	6	2	9	15	14	10
ENSMUSG00000048138	1136	971	234	234	16	8	397	298
ENSMUSG00000048142	310	242	92	90	345	337	553	907
ENSMUSG00000048148	0	0	2	1	6	4	2	4
ENSMUSG00000048153	0	0	0	0	0	0	0	0
ENSMUSG00000048154	2136	1559	1837	1738	1865	1842	1751	2198
ENSMUSG00000048155	0	0	0	0	0	0	0	0
ENSMUSG00000048163	0	0	1	0	3	3	1	3
ENSMUSG00000048164	17	16	19	19	176	226	44	96
ENSMUSG00000048170	1569	1314	1120	1092	2923	3075	3147	4230
ENSMUSG00000048173	0	0	0	0	0	0	0	0
ENSMUSG00000048174	42	34	30	28	74	79	65	68
ENSMUSG00000048175	268	220	187	187	288	330	367	461
ENSMUSG00000048185	0	1	1	1	0	6	1	2
ENSMUSG00000048186	45	27	32	22	51	51	38	61
ENSMUSG00000048188	4	1	2	0	2	2	3	1
ENSMUSG00000048191	0	0	0	2	2	1	0	1
ENSMUSG00000048197	0	0	0	0	0	0	0	0
ENSMUSG00000048200	16	11	29	25	55	68	10	28
ENSMUSG00000048206	0	0	0	0	0	0	0	0
ENSMUSG00000048215	0	0	0	0	0	0	0	0
ENSMUSG00000048216	49	34	17	25	113	156	23	38
ENSMUSG00000048217	1	1	1	0	1	5	2	6
ENSMUSG00000048218	111	93	75	82	243	273	125	172
ENSMUSG00000048222	174	135	114	106	288	303	217	377
ENSMUSG00000048226	0	0	0	0	0	0	0	0
ENSMUSG00000048230	1	2	0	1	24	25	4	8
ENSMUSG00000048231	0	0	0	0	0	0	0	0
ENSMUSG00000048232	527	339	392	383	614	638	643	975
ENSMUSG00000048234	423	335	429	413	1299	1652	826	1376
ENSMUSG00000048236	0	0	0	0	0	0	0	0
ENSMUSG00000048240	94	66	61	55	230	273	184	279
ENSMUSG00000048249	145	120	151	135	272	350	207	259
ENSMUSG00000048251	10	2	13	12	51	77	9	17
ENSMUSG00000048261	0	0	0	0	0	0	0	0
ENSMUSG00000048264	237	157	188	209	587	632	832	1063
ENSMUSG00000048271	2025	1629	1814	1812	2902	3263	2754	3570
ENSMUSG00000048277	644	425	491	475	2047	2297	1568	2402
ENSMUSG00000048279	467	343	330	308	332	289	576	669
ENSMUSG00000048280	323	270	204	219	314	369	324	455
ENSMUSG00000048281	4	5	14	19	8	13	11	6
ENSMUSG00000048284	0	0	0	0	0	0	0	0
ENSMUSG00000048285	513	393	358	315	399	373	1036	1348
ENSMUSG00000048292	0	0	0	0	0	0	0	0
ENSMUSG00000048294	0	0	0	0	0	0	0	0
ENSMUSG00000048299	0	0	0	0	0	0	0	0
ENSMUSG00000048304	0	0	0	0	3	3	1	3
ENSMUSG00000048307	628	497	371	368	1744	2034	1346	1997
ENSMUSG00000048310	877	694	723	676	2063	2269	2284	3180
ENSMUSG00000048312	0	0	0	0	0	0	0	0
ENSMUSG00000048316	0	0	0	1	0	2	0	0
ENSMUSG00000048327	1107	904	605	545	1231	1328	1283	1662
ENSMUSG00000048329	0	0	5	3	2	7	2	0
ENSMUSG00000048330	143	127	146	165	496	494	404	530
ENSMUSG00000048332	51	35	91	93	218	308	483	660
ENSMUSG00000048334	0	1	0	0	3	1	2	1
ENSMUSG00000048337	1	0	0	0	6	3	2	7
ENSMUSG00000048347	32	13	5	11	7	6	10	8
ENSMUSG00000048349	70	47	43	44	138	142	121	151
ENSMUSG00000048351	417	334	338	361	850	1007	673	943
ENSMUSG00000048355	148	125	159	140	434	451	305	520
ENSMUSG00000048356	0	0	0	0	0	0	0	0
ENSMUSG00000048368	0	0	0	0	0	0	0	0
ENSMUSG00000048371	179	130	135	126	579	682	367	577
ENSMUSG00000048373	30	22	25	17	60	52	94	129
ENSMUSG00000048376	1482	1163	1098	1018	1941	2135	2588	3383
ENSMUSG00000048377	0	0	0	0	0	0	2	1
ENSMUSG00000048378	0	0	0	0	0	0	0	0
ENSMUSG00000048379	389	392	335	284	589	701	666	940
ENSMUSG00000048385	3	1	4	1	15	9	8	9
ENSMUSG00000048387	0	3	125	125	5	1	18	33
ENSMUSG00000048388	208	138	100	95	258	285	341	431
ENSMUSG00000048391	0	0	0	0	0	0	0	0
ENSMUSG00000048398	0	0	0	0	5	2	0	3
ENSMUSG00000048399	0	0	1	1	8	7	6	11
ENSMUSG00000048400	0	0	0	1	0	1	2	4
ENSMUSG00000048402	943	663	505	451	718	820	639	889
ENSMUSG00000048406	37	27	27	24	52	48	38	26
ENSMUSG00000048410	294	232	229	190	433	479	581	755
ENSMUSG00000048411	0	0	0	0	0	0	0	0
ENSMUSG00000048416	63	36	51	55	229	280	91	130
ENSMUSG00000048424	0	0	0	0	0	0	0	0
ENSMUSG00000048425	0	0	0	0	0	0	0	0
ENSMUSG00000048429	703	533	467	464	1108	1226	1239	1757
ENSMUSG00000048439	187	144	124	128	337	375	440	574
ENSMUSG00000048440	205	208	230	222	430	466	298	495
ENSMUSG00000048442	0	0	0	0	3	0	2	2
ENSMUSG00000048445	150	135	120	152	143	177	240	307
ENSMUSG00000048450	154	124	101	76	673	737	464	763
ENSMUSG00000048455	0	0	0	0	0	0	0	0
ENSMUSG00000048456	0	0	0	0	0	0	0	0
ENSMUSG00000048458	228	176	164	151	311	326	339	519
ENSMUSG00000048469	0	0	0	0	0	0	0	0
ENSMUSG00000048473	0	0	0	1	0	0	0	0
ENSMUSG00000048478	48	45	56	49	67	69	134	192
ENSMUSG00000048480	0	0	0	0	0	0	0	0
ENSMUSG00000048481	51	34	25	31	124	115	44	54
ENSMUSG00000048482	14	13	9	12	44	52	16	24
ENSMUSG00000048483	0	0	0	0	1	3	0	1
ENSMUSG00000048484	0	3	3	0	0	0	1	0
ENSMUSG00000048485	41	31	26	17	94	117	77	99
ENSMUSG00000048486	180	141	107	138	344	362	303	516
ENSMUSG00000048489	7	6	13	13	0	1	9	3
ENSMUSG00000048490	496	341	388	364	739	863	765	972
ENSMUSG00000048495	152	128	131	136	293	389	198	360
ENSMUSG00000048497	257	193	196	192	321	362	330	458
ENSMUSG00000048498	0	0	7	6	3	4	1	1
ENSMUSG00000048500	0	0	0	0	1	0	0	0
ENSMUSG00000048501	0	0	0	0	0	0	0	0
ENSMUSG00000048502	0	0	0	0	0	0	1	0
ENSMUSG00000048503	325	272	240	217	255	321	326	389
ENSMUSG00000048516	0	0	0	0	0	0	0	0
ENSMUSG00000048520	1	0	0	0	0	3	0	0
ENSMUSG00000048521	0	0	0	0	0	0	0	0
ENSMUSG00000048528	1702	1455	577	478	12490	13495	7806	13472
ENSMUSG00000048534	1	0	13	17	47	93	0	5
ENSMUSG00000048537	826	780	811	810	917	996	930	1351
ENSMUSG00000048538	0	4	1	3	42	63	22	25
ENSMUSG00000048540	0	1	0	3	2	0	2	3
ENSMUSG00000048546	293	252	286	249	512	556	602	888
ENSMUSG00000048550	262	219	160	161	410	477	264	380
ENSMUSG00000048559	0	0	0	0	0	0	0	0
ENSMUSG00000048562	420	385	216	167	1621	1784	1640	2635
ENSMUSG00000048572	2	2	8	8	2	4	25	37
ENSMUSG00000048573	0	0	0	0	1	0	0	0
ENSMUSG00000048574	9	5	9	7	60	57	20	50
ENSMUSG00000048578	5675	4250	3633	3631	12787	14135	9040	13231
ENSMUSG00000048581	17	8	12	29	75	79	58	75
ENSMUSG00000048582	3	0	3	6	15	20	4	6
ENSMUSG00000048583	1026	681	688	548	76	71	1815	2150
ENSMUSG00000048592	0	0	0	1	5	7	5	4
ENSMUSG00000048600	0	0	1	1	1	6	1	1
ENSMUSG00000048602	0	0	0	0	0	0	0	1
ENSMUSG00000048603	53	49	74	69	108	105	80	122
ENSMUSG00000048612	31	23	74	72	207	238	37	79
ENSMUSG00000048616	20	15	78	72	59	72	16	30
ENSMUSG00000048617	0	0	0	0	0	0	0	3
ENSMUSG00000048620	0	0	0	0	0	0	0	0
ENSMUSG00000048621	0	0	0	0	0	2	0	0
ENSMUSG00000048626	0	0	0	1	0	0	1	0
ENSMUSG00000048628	1	0	0	0	0	0	0	0
ENSMUSG00000048636	0	1	10	3	17	34	1	3
ENSMUSG00000048643	0	0	0	0	0	0	0	0
ENSMUSG00000048644	1358	1082	1120	1027	1534	1826	1571	2096
ENSMUSG00000048647	54	53	48	40	107	156	99	105
ENSMUSG00000048652	0	1	0	1	2	2	0	0
ENSMUSG00000048655	1	2	1	0	0	0	2	0
ENSMUSG00000048661	162	138	162	136	892	1068	340	448
ENSMUSG00000048668	1507	1325	1265	1294	2008	2298	2066	2632
ENSMUSG00000048677	166	118	176	154	262	279	205	322
ENSMUSG00000048686	0	0	0	0	0	0	0	0
ENSMUSG00000048693	0	0	0	0	0	0	0	0
ENSMUSG00000048696	447	316	517	481	676	830	544	739
ENSMUSG00000048697	0	0	0	0	0	0	0	0
ENSMUSG00000048699	14	11	21	10	18	16	13	27
ENSMUSG00000048701	867	711	664	716	2254	2422	1707	2481
ENSMUSG00000048703	0	0	0	0	0	0	0	0
ENSMUSG00000048706	64	35	36	32	75	108	59	63
ENSMUSG00000048707	174	131	81	73	222	251	178	300
ENSMUSG00000048709	8	7	1	10	77	111	38	56
ENSMUSG00000048720	111	84	68	60	186	191	193	253
ENSMUSG00000048721	0	0	0	0	1	0	0	0
ENSMUSG00000048728	83	79	37	40	41	57	69	94
ENSMUSG00000048731	38	44	36	22	46	35	25	40
ENSMUSG00000048732	129	106	84	108	188	209	197	294
ENSMUSG00000048745	0	0	0	0	0	0	0	0
ENSMUSG00000048747	2	0	0	0	0	0	0	1
ENSMUSG00000048752	12	4	6	8	45	46	35	69
ENSMUSG00000048755	464	353	325	313	939	1120	760	1226
ENSMUSG00000048756	507	470	442	446	1347	1481	1360	1919
ENSMUSG00000048758	615	487	497	503	1289	1565	1217	1744
ENSMUSG00000048763	1736	1432	887	884	286	312	3810	4743
ENSMUSG00000048764	0	1	0	0	1	0	1	0
ENSMUSG00000048766	0	0	0	0	0	0	0	0
ENSMUSG00000048772	23	12	27	22	61	81	52	64
ENSMUSG00000048775	0	0	0	0	0	0	0	0
ENSMUSG00000048776	1	1	1	0	2	2	0	0
ENSMUSG00000048779	1	0	3	0	4	4	5	7
ENSMUSG00000048782	1	1	1	1	8	12	3	10
ENSMUSG00000048787	205	154	180	160	332	408	324	431
ENSMUSG00000048794	8	5	14	9	9	10	9	11
ENSMUSG00000048796	166	148	182	186	328	393	287	447
ENSMUSG00000048799	682	524	494	529	1153	1352	1090	1461
ENSMUSG00000048806	0	0	0	0	0	0	0	0
ENSMUSG00000048807	80	66	69	80	178	181	219	327
ENSMUSG00000048810	0	0	0	0	0	0	0	0
ENSMUSG00000048814	59	52	17	17	32	23	72	127
ENSMUSG00000048824	0	0	0	0	0	0	0	0
ENSMUSG00000048826	699	552	384	405	460	527	229	350
ENSMUSG00000048827	5	2	0	2	0	2	1	2
ENSMUSG00000048830	0	0	0	0	0	0	0	0
ENSMUSG00000048832	344	280	404	405	1116	1298	688	947
ENSMUSG00000048833	733	546	472	498	1226	1385	1286	1750
ENSMUSG00000048834	7	9	1	0	45	60	9	14
ENSMUSG00000048852	0	0	0	0	4	7	0	0
ENSMUSG00000048856	183	124	159	131	112	137	113	185
ENSMUSG00000048865	47	40	15	22	72	68	122	150
ENSMUSG00000048874	1257	1003	892	776	2127	2537	2092	2682
ENSMUSG00000048875	0	0	0	0	0	0	1	0
ENSMUSG00000048878	375	320	285	283	745	843	467	661
ENSMUSG00000048895	32	35	41	36	65	83	105	170
ENSMUSG00000048897	537	405	439	445	881	970	964	1262
ENSMUSG00000048899	15	18	36	17	236	293	42	80
ENSMUSG00000048904	0	1	0	1	1	3	1	3
ENSMUSG00000048905	1	2	0	5	20	25	15	20
ENSMUSG00000048911	399	308	195	197	307	362	481	630
ENSMUSG00000048915	197	120	210	207	424	454	322	365
ENSMUSG00000048916	3	3	0	1	2	2	1	4
ENSMUSG00000048919	0	0	0	0	0	0	0	0
ENSMUSG00000048920	625	462	489	484	1130	1289	1065	1472
ENSMUSG00000048921	192	183	123	142	238	257	348	434
ENSMUSG00000048922	1521	1286	876	906	1335	1611	1375	1906
ENSMUSG00000048924	16	7	19	20	46	37	31	48
ENSMUSG00000048930	421	325	292	286	520	663	545	790
ENSMUSG00000048933	0	0	0	0	0	0	0	0
ENSMUSG00000048938	0	0	0	0	0	1	0	1
ENSMUSG00000048939	0	0	0	2	0	0	0	0
ENSMUSG00000048949	21	17	20	18	31	45	33	38
ENSMUSG00000048960	280	199	206	188	290	298	406	445
ENSMUSG00000048965	40	18	21	23	38	45	62	79
ENSMUSG00000048967	55	54	63	62	54	56	39	53
ENSMUSG00000048970	159	120	112	129	223	222	161	209
ENSMUSG00000048978	1	0	1	3	26	24	7	4
ENSMUSG00000048981	0	0	1	0	0	0	1	1
ENSMUSG00000048982	0	0	0	0	0	0	0	0
ENSMUSG00000048988	2	3	10	7	155	158	10	17
ENSMUSG00000048992	0	0	0	0	2	2	1	0
ENSMUSG00000048994	0	0	0	0	0	0	0	0
ENSMUSG00000048996	0	0	0	0	0	0	0	0
ENSMUSG00000048997	558	525	499	507	528	560	795	1095
ENSMUSG00000049001	77	38	60	46	103	139	23	25
ENSMUSG00000049008	0	0	0	0	0	0	0	0
ENSMUSG00000049010	0	0	0	0	0	0	0	0
ENSMUSG00000049011	0	0	0	0	0	0	0	0
ENSMUSG00000049013	0	0	0	0	0	0	0	1
ENSMUSG00000049015	0	0	0	0	0	0	0	0
ENSMUSG00000049018	0	0	3	1	4	1	0	0
ENSMUSG00000049028	0	0	0	0	0	0	0	0
ENSMUSG00000049036	199	157	134	137	368	406	272	414
ENSMUSG00000049037	2	1	0	0	3	1	0	0
ENSMUSG00000049038	216	175	153	140	215	239	263	391
ENSMUSG00000049041	0	0	0	0	0	0	0	0
ENSMUSG00000049044	1	1	8	5	2	7	6	6
ENSMUSG00000049047	270	191	193	195	311	356	214	233
ENSMUSG00000049052	0	0	0	0	0	0	0	0
ENSMUSG00000049057	0	0	0	0	0	1	0	0
ENSMUSG00000049062	0	0	0	0	0	0	0	0
ENSMUSG00000049073	0	0	1	0	0	3	0	0
ENSMUSG00000049076	628	511	507	439	1754	1951	1304	1708
ENSMUSG00000049086	233	172	149	133	394	458	332	567
ENSMUSG00000049090	1108	856	805	733	1080	1217	2049	2706
ENSMUSG00000049091	1200	937	840	739	2978	3390	2422	3484
ENSMUSG00000049092	41	36	23	29	42	52	42	57
ENSMUSG00000049093	0	0	0	0	1	2	0	0
ENSMUSG00000049094	0	0	0	0	0	0	0	0
ENSMUSG00000049097	4	3	2	7	14	29	3	5
ENSMUSG00000049098	0	1	0	0	1	0	0	1
ENSMUSG00000049100	14	4	2	6	11	15	6	8
ENSMUSG00000049103	0	0	0	1	0	0	2	2
ENSMUSG00000049106	772	654	519	522	1033	1103	987	1329
ENSMUSG00000049107	24	13	27	26	29	51	66	65
ENSMUSG00000049109	1	1	0	0	2	0	1	4
ENSMUSG00000049112	18	19	12	12	17	11	175	267
ENSMUSG00000049115	19	16	28	27	21	36	60	59
ENSMUSG00000049119	86	63	54	55	215	217	177	273
ENSMUSG00000049122	3	1	3	10	4	2	5	11
ENSMUSG00000049123	1	2	3	14	10	13	3	6
ENSMUSG00000049124	586	450	436	434	881	1030	881	1173
ENSMUSG00000049128	0	0	0	0	0	0	0	0
ENSMUSG00000049130	0	0	0	0	0	0	0	0
ENSMUSG00000049133	0	0	0	0	0	0	0	0
ENSMUSG00000049134	1	2	2	3	5	10	3	2
ENSMUSG00000049148	6	8	1	2	6	3	5	6
ENSMUSG00000049149	0	0	0	0	0	0	0	0
ENSMUSG00000049152	0	0	0	0	0	0	0	0
ENSMUSG00000049154	0	0	5	4	12	13	1	1
ENSMUSG00000049160	0	0	0	0	0	0	0	0
ENSMUSG00000049164	404	367	337	321	1333	1702	1143	1579
ENSMUSG00000049168	0	0	0	0	0	0	0	0
ENSMUSG00000049173	0	0	0	0	4	7	5	1
ENSMUSG00000049176	0	0	2	1	5	3	11	10
ENSMUSG00000049184	218	189	83	73	146	190	125	147
ENSMUSG00000049191	165	164	168	157	20	21	112	152
ENSMUSG00000049202	0	0	0	0	0	0	0	0
ENSMUSG00000049214	0	0	0	0	1	0	0	0
ENSMUSG00000049217	0	0	0	0	0	0	0	0
ENSMUSG00000049225	162	125	182	158	386	442	398	570
ENSMUSG00000049229	0	0	0	0	0	0	0	0
ENSMUSG00000049230	121	104	97	98	163	162	178	190
ENSMUSG00000049231	0	0	0	0	5	4	0	1
ENSMUSG00000049232	159	133	102	119	316	393	267	387
ENSMUSG00000049233	4	0	2	5	7	9	0	1
ENSMUSG00000049235	6	5	5	4	26	41	23	22
ENSMUSG00000049241	2	1	2	3	4	1	0	0
ENSMUSG00000049246	1	1	0	2	11	24	5	16
ENSMUSG00000049249	0	0	0	0	0	0	0	0
ENSMUSG00000049252	1	2	2	0	1	2	6	4
ENSMUSG00000049265	2	7	7	11	16	13	183	166
ENSMUSG00000049280	0	0	0	0	0	0	0	0
ENSMUSG00000049281	7	3	20	10	31	44	40	40
ENSMUSG00000049285	48	37	35	41	79	82	78	110
ENSMUSG00000049287	147	110	119	107	275	308	252	427
ENSMUSG00000049288	279	188	161	148	249	275	388	519
ENSMUSG00000049291	0	0	1	0	3	4	1	0
ENSMUSG00000049295	2677	2262	2115	2049	2792	3145	2472	3606
ENSMUSG00000049299	631	542	566	557	1640	1966	1249	1700
ENSMUSG00000049300	520	410	490	473	1237	1440	1314	1801
ENSMUSG00000049303	7	7	45	32	7	16	21	31
ENSMUSG00000049305	706	551	510	510	1483	1566	1339	1830
ENSMUSG00000049307	44	24	47	42	77	98	248	358
ENSMUSG00000049313	655	445	424	405	1008	1095	622	774
ENSMUSG00000049314	0	0	0	0	1	0	0	0
ENSMUSG00000049315	0	0	0	0	1	0	0	0
ENSMUSG00000049321	332	232	172	227	308	375	330	475
ENSMUSG00000049323	642	522	444	411	1326	1386	1118	1540
ENSMUSG00000049327	2108	1563	1166	1242	2996	3306	2574	3343
ENSMUSG00000049334	0	0	0	0	0	0	0	0
ENSMUSG00000049336	8	12	2	2	1	2	3	4
ENSMUSG00000049339	1142	870	803	691	2441	2635	1979	2824
ENSMUSG00000049349	0	1	1	0	0	0	1	0
ENSMUSG00000049350	1	0	0	0	0	1	0	2
ENSMUSG00000049353	0	0	1	0	0	1	1	0
ENSMUSG00000049354	1722	1365	1141	1150	3874	4206	4508	5985
ENSMUSG00000049357	21	15	14	27	23	16	6	21
ENSMUSG00000049362	0	0	0	0	0	0	0	0
ENSMUSG00000049372	0	0	0	0	0	0	0	0
ENSMUSG00000049382	85	97	1892	1915	3611	4827	319	561
ENSMUSG00000049387	1	2	0	0	0	0	1	2
ENSMUSG00000049396	2	1	2	1	1	3	2	4
ENSMUSG00000049401	2088	1537	1419	1443	3923	4268	3000	4351
ENSMUSG00000049404	2	1	6	10	14	7	7	15
ENSMUSG00000049409	5	0	55	56	63	76	32	34
ENSMUSG00000049410	0	0	0	0	0	0	0	0
ENSMUSG00000049411	30	21	30	12	90	82	46	76
ENSMUSG00000049414	2	2	2	2	13	9	3	6
ENSMUSG00000049420	3	4	29	26	693	794	67	130
ENSMUSG00000049421	1333	963	780	764	1427	1624	1503	2098
ENSMUSG00000049422	119	87	117	79	1265	1381	205	371
ENSMUSG00000049427	0	0	0	0	0	0	0	0
ENSMUSG00000049436	1	1	4	3	0	1	1	1
ENSMUSG00000049439	443	385	400	405	897	1042	759	1082
ENSMUSG00000049456	0	0	0	0	0	0	0	0
ENSMUSG00000049460	0	0	0	0	1	0	1	4
ENSMUSG00000049470	1612	1189	1738	1710	4756	5176	3201	3990
ENSMUSG00000049476	0	0	1	0	0	0	0	0
ENSMUSG00000049477	3	3	2	2	11	11	15	10
ENSMUSG00000049482	735	593	594	538	1105	1164	742	1226
ENSMUSG00000049488	223	176	156	154	309	392	276	335
ENSMUSG00000049489	262	242	231	221	507	493	431	601
ENSMUSG00000049491	0	0	0	0	0	0	0	0
ENSMUSG00000049493	25	14	60	55	385	415	137	179
ENSMUSG00000049498	0	0	0	0	0	0	0	0
ENSMUSG00000049502	17	21	37	37	1272	1445	92	142
ENSMUSG00000049504	960	752	949	856	1981	2184	2151	2584
ENSMUSG00000049506	0	0	0	0	0	0	0	0
ENSMUSG00000049511	4	7	5	3	13	17	24	36
ENSMUSG00000049515	1	2	6	2	24	27	7	4
ENSMUSG00000049516	223	207	206	178	462	557	422	547
ENSMUSG00000049517	8747	6959	7257	7745	21720	24249	20326	28087
ENSMUSG00000049521	357	274	383	323	314	352	211	345
ENSMUSG00000049526	0	1	0	0	1	0	0	0
ENSMUSG00000049528	0	0	0	0	0	0	0	0
ENSMUSG00000049530	0	0	0	0	0	0	0	0
ENSMUSG00000049532	1445	1119	910	907	1368	1533	1934	2685
