p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci	tissue
1.71E-200	8.594280316	0.979	0.02	5.50E-196	Hoxaas3	HoxABCD	NMPs
1.59E-193	8.720232368	0.951	0.008	5.09E-189	Hoxb5os	HoxABCD	NMPs
3.57E-183	8.208093972	0.917	0.007	1.14E-178	Hoxc9	HoxABCD	NMPs
6.19E-164	7.246375468	0.856	0.013	1.99E-159	Hoxb9	HoxABCD	NMPs
3.96E-158	2.649409918	0.996	0.727	1.27E-153	Gm47283	chrY	NMPs
2.37E-156	8.247825786	0.82	0.005	7.61E-152	Hoxc8	HoxABCD	NMPs
1.03E-152	8.925920438	0.803	0.002	3.29E-148	Hoxb4	HoxABCD	NMPs
1.52E-152	7.809217771	0.807	0.005	4.89E-148	Hoxb8	HoxABCD	NMPs
5.91E-151	8.74418121	0.798	0.005	1.89E-146	Hoxa7	HoxABCD	NMPs
3.07E-146	-0.628788626	1	1	9.86E-142	Rps14	other	NMPs
2.15E-106	8.322475491	0.611	0.002	6.89E-102	Hoxa9	HoxABCD	NMPs
1.53E-98	8.172658953	0.575	0.002	4.90E-94	Hoxc6	HoxABCD	NMPs
1.03E-94	7.727389686	0.558	0.002	3.30E-90	Hoxb1	HoxABCD	NMPs
1.19E-93	7.22830664	0.558	0.005	3.81E-89	Hoxd9	HoxABCD	NMPs
2.08E-93	7.905198898	0.552	0.002	6.67E-89	Hoxb2	HoxABCD	NMPs
1.22E-89	7.249401729	0.537	0.003	3.90E-85	Hoxb3	HoxABCD	NMPs
3.34E-86	-1.468820173	0.866	0.988	1.07E-81	Gm45889	other	NMPs
9.16E-85	7.228490764	0.514	0.003	2.94E-80	Hoxc10	HoxABCD	NMPs
3.42E-80	5.41725461	0.512	0.012	1.10E-75	Hotairm1	HoxABCD	NMPs
1.30E-76	6.822024437	0.473	0.003	4.16E-72	Hoxc4	HoxABCD	NMPs
3.51E-60	6.613151392	0.386	0.003	1.13E-55	Hoxb7	HoxABCD	NMPs
2.09E-54	6.000275299	0.359	0.005	6.69E-50	Hoxb3os	HoxABCD	NMPs
8.00E-53	5.898288717	0.35	0.005	2.56E-48	Hoxd4	HoxABCD	NMPs
1.07E-48	-0.371745218	1	1	3.44E-44	Rps29	other	NMPs
2.90E-48	-0.87218084	0.898	0.985	9.29E-44	Peg3	other	NMPs
8.49E-48	7.987226023	0.308	0	2.72E-43	Gm53	HoxABCD	NMPs
4.49E-47	7.877479991	0.304	0	1.44E-42	Hoxa3	HoxABCD	NMPs
3.02E-44	-0.271029555	1	1	9.67E-40	Rps20	other	NMPs
8.83E-41	-1.565756963	0.344	0.695	2.83E-36	Cdx1	other	NMPs
5.75E-40	6.356921314	0.27	0.003	1.84E-35	Gm27477	HoxABCD	NMPs
3.42E-38	-0.500327307	0.994	0.998	1.10E-33	Gm10076	other	NMPs
8.10E-37	4.493670878	0.289	0.02	2.60E-32	Grb10	other	NMPs
2.99E-36	2.624727506	0.378	0.067	9.58E-32	Cdkn1c	other	NMPs
1.05E-35	6.089225923	0.24	0.002	3.37E-31	Hoxa2	HoxABCD	NMPs
5.70E-34	-0.492154838	1	1	1.83E-29	CT010467.1	other	NMPs
3.56E-33	0.260104283	1	1	1.14E-28	Npm1	other	NMPs
7.36E-33	-1.002746565	0.684	0.854	2.36E-28	Prtg	other	NMPs
1.91E-32	-0.252201505	1	1	6.13E-28	Rpl37a	other	NMPs
9.74E-32	5.921569279	0.219	0.003	3.12E-27	Ddx3y	chrY	NMPs
1.09E-31	-0.197112672	1	1	3.49E-27	Rpl41	other	NMPs
2.77E-31	-0.27424718	1	1	8.87E-27	Rps27	other	NMPs
3.85E-31	7.190134239	0.206	0	1.24E-26	Hoxd8	HoxABCD	NMPs
8.28E-31	7.265111904	0.204	0	2.65E-26	Hoxb6	HoxABCD	NMPs
9.59E-30	0.961985102	0.866	0.635	3.08E-25	Cd63	other	NMPs
1.14E-29	-0.311760788	1	0.998	3.66E-25	Rpl35	other	NMPs
3.19E-29	1.540703554	0.529	0.201	1.02E-24	Erdr1	other	NMPs
3.70E-29	7.217347391	0.193	0	1.19E-24	Eif2s3y	chrY	NMPs
4.44E-29	-2.348643142	0.157	0.459	1.42E-24	H19	other	NMPs
1.58E-28	-0.271748426	1	1	5.05E-24	Rpl39	other	NMPs
2.00E-28	6.137712664	0.193	0.002	6.43E-24	Hoxd3	HoxABCD	NMPs
9.38E-28	-0.911398176	0.665	0.856	3.01E-23	Nnat	other	NMPs
1.60E-27	6.971525025	0.183	0	5.13E-23	Hoxa4	HoxABCD	NMPs
2.71E-24	6.959766148	0.161	0	8.69E-20	Hoxa10	HoxABCD	NMPs
2.19E-23	0.571905986	0.972	0.899	7.03E-19	Pclaf	other	NMPs
3.22E-23	5.707237029	0.159	0.002	1.03E-18	Hoxa5	HoxABCD	NMPs
4.57E-22	6.723348031	0.146	0	1.46E-17	Hoxc5	HoxABCD	NMPs
9.45E-22	6.748988812	0.144	0	3.03E-17	Gm15050	HoxABCD	NMPs
1.95E-21	6.645540479	0.142	0	6.27E-17	Hoxd3os1	HoxABCD	NMPs
2.08E-21	-0.689884597	0.805	0.859	6.66E-17	Tcof1	other	NMPs
1.98E-20	-0.708086622	0.756	0.861	6.35E-16	Rbm22	other	NMPs
4.87E-20	-0.19446021	1	1	1.56E-15	Rps21	other	NMPs
9.48E-20	-1.084254795	0.484	0.705	3.04E-15	Id3	other	NMPs
5.37E-19	-0.211097928	1	1	1.72E-14	Rpl6	other	NMPs
1.27E-18	6.505761559	0.123	0	4.09E-14	Mir196b	HoxABCD	NMPs
1.84E-18	-0.245231342	1	1	5.90E-14	Rpl38	other	NMPs
1.99E-18	0.330171965	0.998	0.993	6.37E-14	Hint1	other	NMPs
1.99E-17	0.949557143	0.62	0.363	6.37E-13	Id2	other	NMPs
2.05E-17	-0.230039536	1	1	6.57E-13	Rps28	other	NMPs
1.17E-16	-0.454183815	0.936	0.95	3.75E-12	Csnk1a1	other	NMPs
3.74E-16	6.361295455	0.106	0	1.20E-11	5730596B20Rik	HoxABCD	NMPs
4.34E-16	-0.28246183	0.998	0.998	1.39E-11	Gapdh	other	NMPs
6.95E-16	0.453789036	0.966	0.92	2.23E-11	Eif4a1	other	NMPs
6.97E-16	2.027365875	0.202	0.042	2.24E-11	Hoxa1	HoxABCD	NMPs
3.35E-15	-0.178559618	1	1	1.08E-10	Rpl36a	other	NMPs
3.59E-15	-0.741063508	0.711	0.804	1.15E-10	Meg3	other	NMPs
5.40E-15	-0.187906892	1	1	1.73E-10	Rplp0	other	NMPs
5.79E-15	-0.157997548	1	1	1.86E-10	Rpl36	other	NMPs
6.22E-15	6.053442292	0.098	0	2.00E-10	Haglr	HoxABCD	NMPs
6.69E-15	0.169399394	1	1	2.14E-10	Rps27a	other	NMPs
2.52E-14	6.002299961	0.093	0	8.10E-10	Hoxb5	HoxABCD	NMPs
1.02E-13	-0.520065007	0.907	0.935	3.27E-09	Kcnq1ot1	other	NMPs
1.36E-13	-0.196274941	1	1	4.35E-09	Mdk	other	NMPs
1.62E-13	-0.81792772	0.535	0.678	5.19E-09	Phlda3	other	NMPs
2.51E-13	-0.337518526	1	1	8.05E-09	Malat1	other	NMPs
3.17E-13	0.667429946	0.764	0.598	1.02E-08	Abracl	other	NMPs
4.35E-13	0.518375936	0.945	0.853	1.40E-08	Ccnd2	other	NMPs
1.62E-12	0.301417355	0.998	0.987	5.19E-08	Cox7a2	other	NMPs
2.17E-12	-0.314316575	0.979	0.985	6.96E-08	Eno1	other	NMPs
3.85E-12	0.348557109	0.975	0.941	1.23E-07	Psmb6	other	NMPs
4.18E-12	0.971761232	0.401	0.196	1.34E-07	Cyp26a1	other	NMPs
4.59E-12	1.031251162	0.346	0.154	1.47E-07	Zdhhc2	other	NMPs
9.07E-12	-0.997411335	0.431	0.551	2.91E-07	Axin2	other	NMPs
9.16E-12	-0.775292067	0.692	0.786	2.94E-07	H1f5	other	NMPs
1.18E-11	0.469632477	0.883	0.719	3.77E-07	Gdi2	other	NMPs
1.53E-11	-0.53105097	0.803	0.863	4.89E-07	Hes1	other	NMPs
1.93E-11	0.444834352	0.902	0.806	6.19E-07	Crabp2	other	NMPs
2.61E-11	5.501019606	0.072	0	8.37E-07	Hoxaas2	HoxABCD	NMPs
5.17E-11	-1.391352063	0.18	0.333	1.66E-06	Urad	other	NMPs
5.83E-11	0.727122679	0.605	0.402	1.87E-06	Gcat	other	NMPs
6.41E-11	0.302138404	0.983	0.968	2.05E-06	Cnbp	other	NMPs
6.52E-11	0.179016481	1	1	2.09E-06	Chchd2	other	NMPs
6.53E-11	-0.612390308	0.601	0.729	2.09E-06	Cdkn1a	other	NMPs
6.61E-11	0.340209062	0.938	0.886	2.12E-06	H2az1	other	NMPs
1.02E-10	1.14202477	0.306	0.141	3.26E-06	Palld	other	NMPs
1.05E-10	-0.139901815	1	1	3.37E-06	Rpl37	other	NMPs
1.38E-10	-1.246985411	0.178	0.333	4.42E-06	Nrp2	other	NMPs
1.51E-10	-0.216365683	1	0.995	4.83E-06	Dctpp1	other	NMPs
1.55E-10	0.56744717	0.737	0.581	4.97E-06	Elavl1	other	NMPs
2.05E-10	5.506918741	0.066	0	6.59E-06	Uty	chrY	NMPs
2.07E-10	-0.331993977	0.917	0.94	6.65E-06	Cbx3	other	NMPs
2.74E-10	-0.508960229	0.777	0.841	8.80E-06	Tcf4	other	NMPs
2.75E-10	0.432101278	0.839	0.672	8.81E-06	Ndufb10	other	NMPs
3.57E-10	-0.146056074	1	1	1.15E-05	Rpl22	other	NMPs
3.84E-10	-0.117725202	1	1	1.23E-05	Rps12	other	NMPs
4.83E-10	0.538639815	0.807	0.642	1.55E-05	Tmsb4x	other	NMPs
6.12E-10	-0.362416031	0.9	0.938	1.96E-05	Fus	other	NMPs
8.87E-10	0.526402722	0.745	0.553	2.85E-05	Fermt2	other	NMPs
1.15E-09	-0.650354427	0.569	0.665	3.67E-05	Ei24	other	NMPs
1.24E-09	0.207556357	0.998	0.992	3.98E-05	Ran	other	NMPs
1.30E-09	-2.325936911	0.034	0.142	4.17E-05	Alx3	other	NMPs
1.34E-09	-0.2661912	0.998	1	4.31E-05	Ldha	other	NMPs
1.60E-09	-1.596154286	0.087	0.219	5.15E-05	Lsp1	other	NMPs
1.96E-09	0.362687812	0.907	0.792	6.28E-05	Ndufab1	other	NMPs
2.01E-09	0.631749513	0.452	0.261	6.45E-05	Cystm1	other	NMPs
2.29E-09	0.288600839	0.968	0.911	7.35E-05	Ubl5	other	NMPs
2.59E-09	-0.424294564	0.866	0.91	8.29E-05	Ddx3x	other	NMPs
3.28E-09	1.781729307	0.14	0.039	0.000105304	Steap2	other	NMPs
4.78E-09	-0.62893273	0.518	0.631	0.000153199	Gm43078	other	NMPs
5.39E-09	0.308422593	0.932	0.908	0.000172994	G3bp1	other	NMPs
5.55E-09	0.128940844	1	1	0.00017791	Rpl26	other	NMPs
5.78E-09	0.738466176	0.414	0.235	0.000185427	Surf2	other	NMPs
6.04E-09	0.659110571	0.546	0.343	0.000193759	Ciao2b	other	NMPs
6.11E-09	-0.122421908	1	1	0.000196004	Rpl3	other	NMPs
7.31E-09	-0.631169347	0.711	0.764	0.000234316	Mest	other	NMPs
7.51E-09	1.122104861	0.236	0.101	0.000240896	Trp53i11	other	NMPs
7.96E-09	0.451341103	0.73	0.558	0.000255461	Gtf2a2	other	NMPs
8.76E-09	0.217368751	1	0.998	0.000280953	Prdx1	other	NMPs
9.76E-09	0.511418556	0.781	0.618	0.000313208	Coa3	other	NMPs
1.16E-08	0.425240098	0.762	0.591	0.000371274	Znrd2	other	NMPs
1.21E-08	1.857030033	0.115	0.027	0.000386813	Mid1	other	NMPs
1.22E-08	-0.276613352	0.966	0.975	0.00039046	Aldoa	other	NMPs
1.34E-08	0.562608939	0.552	0.36	0.00042851	Ltv1	other	NMPs
1.38E-08	0.523821419	0.662	0.504	0.000443292	Ndfip1	other	NMPs
1.47E-08	0.689333341	0.499	0.315	0.000471017	Rab34	other	NMPs
1.49E-08	0.200270823	0.998	0.995	0.000478658	Pfn1	other	NMPs
1.70E-08	3.744713489	0.057	0.002	0.000545164	Hoxd1	HoxABCD	NMPs
1.70E-08	-0.699086499	0.467	0.576	0.000545922	Uchl5	other	NMPs
1.91E-08	1.239700127	0.195	0.077	0.000611942	Gcnt2	other	NMPs
1.93E-08	0.261939949	0.977	0.931	0.000619579	Lyar	other	NMPs
1.95E-08	-0.322402221	0.924	0.92	0.000624457	H2aj	other	NMPs
1.99E-08	-0.545720767	0.648	0.705	0.000637767	Tbrg1	other	NMPs
2.03E-08	-0.128679009	1	1	0.000652356	Rps3	other	NMPs
2.10E-08	-0.130627603	1	1	0.000672998	Eef1b2	other	NMPs
2.52E-08	0.172881087	1	1	0.00080852	mt-Cytb	other	NMPs
2.85E-08	0.198184871	0.992	0.992	0.000913372	Snrpd1	other	NMPs
3.07E-08	0.449507194	0.769	0.631	0.000984202	Basp1	other	NMPs
3.26E-08	0.297651961	0.945	0.903	0.00104471	Psma3	other	NMPs
3.34E-08	-0.678947653	0.463	0.575	0.001071739	Dctn4	other	NMPs
3.38E-08	-0.212236398	0.996	0.998	0.001083115	Tmsb10	other	NMPs
3.75E-08	0.373006043	0.822	0.672	0.001202719	Mrps18c	other	NMPs
3.93E-08	0.660989877	0.467	0.29	0.001259383	Arhgap10	other	NMPs
3.96E-08	0.300617139	0.966	0.928	0.00126982	Psma2	other	NMPs
4.64E-08	-0.13272657	1	1	0.001487796	Rpl35a	other	NMPs
4.68E-08	-0.388033765	0.828	0.871	0.0015016	Dync1i2	other	NMPs
4.90E-08	0.416093779	0.792	0.637	0.001570326	Polr2g	other	NMPs
5.69E-08	0.372623028	0.851	0.73	0.001825523	Gm9800	other	NMPs
5.76E-08	0.331548148	0.926	0.854	0.00184824	Aprt	other	NMPs
5.77E-08	0.317516593	0.896	0.811	0.001850971	Ppp2ca	other	NMPs
6.32E-08	-0.118649678	1	1	0.002027247	Ybx1	other	NMPs
7.41E-08	1.166830776	0.206	0.087	0.002375763	Cyba	other	NMPs
7.57E-08	0.36485853	0.904	0.797	0.002428735	Mrpl20	other	NMPs
7.73E-08	0.568560341	0.431	0.261	0.002479122	Igfbp5	other	NMPs
7.76E-08	0.173186259	0.998	0.995	0.002490292	Eif1	other	NMPs
7.91E-08	0.247455808	0.979	0.968	0.002536892	Rbx1	other	NMPs
8.35E-08	0.396996085	0.868	0.745	0.002678745	Tomm5	other	NMPs
9.33E-08	0.135093276	1	1	0.002993418	Rps10	other	NMPs
9.40E-08	0.494874651	0.707	0.546	0.003014687	Pfdn4	other	NMPs
9.89E-08	-0.161117558	1	1	0.003171535	Ftl1	other	NMPs
1.01E-07	-0.336687376	0.904	0.916	0.003226479	Snrnp70	other	NMPs
1.20E-07	0.249091772	0.975	0.906	0.003855418	Nol7	other	NMPs
1.28E-07	1.021955398	0.27	0.137	0.004100795	Msx1	other	NMPs
1.38E-07	-0.256080658	0.992	0.997	0.004437401	Hnrnpu	other	NMPs
1.40E-07	1.849442205	0.102	0.025	0.00450626	D1Ertd622e	other	NMPs
1.42E-07	0.27980748	0.949	0.889	0.004555344	Rnf7	other	NMPs
1.47E-07	-0.285885271	0.915	0.93	0.004723834	Bola2	other	NMPs
1.63E-07	-0.660108829	0.531	0.603	0.005225566	Dcps	other	NMPs
1.72E-07	0.528449624	0.605	0.427	0.005514712	Wdr77	other	NMPs
1.72E-07	0.296095632	0.862	0.804	0.005515964	Tceal8	other	NMPs
1.78E-07	0.27752268	0.962	0.928	0.005709127	Timm13	other	NMPs
1.84E-07	-0.117978727	1	1	0.005909167	Rps2	other	NMPs
1.95E-07	1.032750232	0.248	0.122	0.00625232	Ptch1	other	NMPs
2.07E-07	0.341485072	0.792	0.645	0.006631622	Gm6477	other	NMPs
2.32E-07	0.677794355	0.346	0.194	0.007441347	Fbn2	other	NMPs
2.38E-07	0.496447073	0.635	0.457	0.007625608	Tubb2b	other	NMPs
2.55E-07	0.730150309	0.335	0.189	0.008181155	Tmem30a	other	NMPs
2.56E-07	0.3913155	0.798	0.677	0.008206222	Hmgcs1	other	NMPs
2.57E-07	-0.839444603	0.329	0.444	0.008229492	Baz2b	other	NMPs
2.63E-07	-1.711580761	0.07	0.171	0.008426148	Wnt4	other	NMPs
2.69E-07	0.409652199	0.762	0.601	0.008613617	Lage3	other	NMPs
2.75E-07	0.744423262	0.236	0.109	0.008832393	Ugp2	other	NMPs
2.84E-07	1.606263327	0.125	0.04	0.009121276	Foxd1	other	NMPs
3.06E-07	0.299949873	0.96	0.878	0.009799255	Cenpw	other	NMPs
3.09E-07	0.429519094	0.607	0.432	0.009897998	Ube2d2a	other	NMPs
3.09E-07	0.339518883	0.864	0.73	0.009926332	Mrps14	other	NMPs
3.55E-07	0.491687989	0.624	0.436	0.011377818	2310033P09Rik	other	NMPs
3.64E-07	0.23957732	0.972	0.965	0.011674628	Banf1	other	NMPs
3.75E-07	-1.350666283	0.166	0.278	0.012038106	Apcdd1	other	NMPs
3.78E-07	4.758962665	0.042	0	0.012130554	Hoxd10	HoxABCD	NMPs
4.12E-07	0.441735723	0.614	0.419	0.013205377	Itpa	other	NMPs
4.16E-07	0.522620021	0.499	0.317	0.013352285	Khdrbs3	other	NMPs
4.52E-07	0.419567312	0.762	0.605	0.014487041	Tyms	other	NMPs
4.73E-07	0.310884572	0.902	0.831	0.015164881	Lsm2	other	NMPs
4.98E-07	0.361815891	0.828	0.668	0.015969753	Atp6v1g1	other	NMPs
5.66E-07	0.334939212	0.879	0.794	0.018161841	Emg1	other	NMPs
6.13E-07	0.251697464	0.962	0.931	0.01967695	Magoh	other	NMPs
6.28E-07	0.276380303	0.896	0.849	0.020152334	Pin1	other	NMPs
6.33E-07	-0.595734898	0.533	0.608	0.020307244	Cox20	other	NMPs
6.39E-07	0.284727406	0.883	0.782	0.020491364	Tmem167	other	NMPs
6.43E-07	0.155867248	1	1	0.020615336	Hsp90aa1	other	NMPs
6.68E-07	0.731530857	0.27	0.139	0.021424165	Cgrrf1	other	NMPs
6.89E-07	0.199232113	0.996	0.985	0.022100371	Rpl22l1	other	NMPs
7.11E-07	0.411252523	0.758	0.66	0.022790686	Uba2	other	NMPs
7.68E-07	0.375663596	0.826	0.707	0.02464408	Psat1	other	NMPs
8.15E-07	0.351939662	0.749	0.573	0.0261391	Mtx2	other	NMPs
8.35E-07	-0.742881401	0.45	0.528	0.02677739	Pdcd10	other	NMPs
8.47E-07	-1.41735492	0.072	0.171	0.027183388	Tmem114	other	NMPs
8.72E-07	0.345779777	0.892	0.807	0.027983031	Commd1	other	NMPs
1.00E-06	0.455750299	0.556	0.37	0.032153634	Rpp21	other	NMPs
1.01E-06	0.355193598	0.843	0.757	0.032367852	Ube2d3	other	NMPs
1.02E-06	0.373754269	0.745	0.598	0.032721593	Nip7	other	NMPs
1.07E-06	0.478479167	0.654	0.492	0.034425316	Commd6	other	NMPs
1.19E-06	0.251919286	0.958	0.881	0.038045518	Ndufa5	other	NMPs
1.19E-06	0.371259736	0.662	0.472	0.038124074	Smndc1	other	NMPs
1.23E-06	0.359488514	0.788	0.658	0.039328807	Ola1	other	NMPs
1.23E-06	0.329290941	0.849	0.735	0.039594185	Psma1	other	NMPs
1.24E-06	0.761209778	0.242	0.122	0.039912385	Ociad2	other	NMPs
1.27E-06	0.566975003	0.374	0.219	0.040742688	Ss18l2	other	NMPs
1.29E-06	-0.302729525	0.866	0.879	0.041427106	Prpf4b	other	NMPs
1.47E-06	-0.74648231	0.482	0.558	0.047265487	Gm49708	other	NMPs
1.53E-06	0.286309474	0.843	0.749	0.049060762	Ostc	other	NMPs
1.62E-06	-0.806146162	0.329	0.436	0.05180137	Tgif1	other	NMPs
1.63E-06	-1.019355474	0.272	0.377	0.05235126	H1f1	other	NMPs
1.67E-06	0.667649924	0.293	0.161	0.053434761	Cuedc1	other	NMPs
1.68E-06	-0.089802316	1	1	0.054030079	Rplp1	other	NMPs
1.78E-06	-1.057527026	0.123	0.233	0.057127209	Gap43	other	NMPs
1.80E-06	0.692157232	0.376	0.236	0.057576123	Mvk	other	NMPs
2.05E-06	-0.567332963	0.662	0.692	0.065886741	H4c4	other	NMPs
2.07E-06	0.532756278	0.52	0.35	0.066493177	Aasdhppt	other	NMPs
2.16E-06	0.310860097	0.856	0.772	0.069364813	Mrpl54	other	NMPs
2.19E-06	0.459816108	0.633	0.456	0.070138441	Taf15	other	NMPs
2.20E-06	0.340266034	0.828	0.685	0.070515713	Lsm8	other	NMPs
2.31E-06	-0.541422406	0.603	0.668	0.074005224	Fzd10	other	NMPs
2.32E-06	0.287229988	0.9	0.794	0.074425854	Dad1	other	NMPs
2.38E-06	-0.146872188	1	1	0.076180341	Rpl34	other	NMPs
2.42E-06	0.528934211	0.577	0.4	0.077558537	Mrpl36	other	NMPs
2.48E-06	0.653815634	0.338	0.199	0.079607259	Sema3a	other	NMPs
2.63E-06	0.179211358	0.998	0.997	0.084353923	Srsf3	other	NMPs
2.66E-06	0.279910765	0.898	0.846	0.085309325	Eloc	other	NMPs
2.69E-06	0.314683093	0.907	0.794	0.086361199	Fdps	other	NMPs
2.74E-06	0.339247739	0.813	0.657	0.088011864	Cisd1	other	NMPs
2.78E-06	0.571897557	0.374	0.223	0.089310548	Ccdc43	other	NMPs
2.80E-06	0.889352965	0.212	0.104	0.089764173	Tmem192	other	NMPs
2.89E-06	0.458384911	0.607	0.447	0.092804702	Sar1b	other	NMPs
2.91E-06	1.288309467	0.142	0.057	0.093441245	Clcn6	other	NMPs
3.22E-06	0.17991892	0.981	0.982	0.103189272	Atp5h	other	NMPs
3.31E-06	-0.845566533	0.274	0.377	0.106113105	Notum	other	NMPs
3.31E-06	0.267872088	0.915	0.848	0.106140867	Srsf9	other	NMPs
3.32E-06	0.461324656	0.764	0.637	0.106600023	Pitrm1	other	NMPs
3.46E-06	0.278705193	0.924	0.863	0.110900499	Dpy30	other	NMPs
3.57E-06	-0.205606421	0.992	0.995	0.114402708	Atp5e	other	NMPs
3.57E-06	0.17705101	0.983	0.975	0.114611488	Atp5g1	other	NMPs
3.66E-06	0.222575705	0.97	0.945	0.117255882	Cks1b	other	NMPs
3.85E-06	0.392396855	0.756	0.66	0.123557461	Rrm2	other	NMPs
3.90E-06	-0.082693664	1	1	0.12519515	Rplp2	other	NMPs
3.93E-06	1.892953895	0.068	0.013	0.126203795	Tspan15	other	NMPs
4.23E-06	0.311274408	0.887	0.787	0.135825506	Ndufc2	other	NMPs
4.30E-06	0.941328368	0.191	0.09	0.137851784	Ephb4	other	NMPs
4.63E-06	0.266909896	0.883	0.781	0.148548435	Gtpbp4	other	NMPs
5.00E-06	0.570464178	0.31	0.178	0.160365017	Gnpnat1	other	NMPs
5.11E-06	0.220551887	0.985	0.965	0.163788414	Uqcrq	other	NMPs
5.13E-06	1.785185132	0.076	0.018	0.164384947	Gas7	other	NMPs
5.43E-06	0.266588307	0.917	0.864	0.17423417	Marcks	other	NMPs
5.66E-06	0.398611141	0.631	0.457	0.181638066	Sms	other	NMPs
5.86E-06	0.206311144	0.972	0.923	0.187907508	Sfr1	other	NMPs
5.90E-06	0.375112427	0.741	0.593	0.189209102	Cyb5a	other	NMPs
5.90E-06	-0.245620777	0.941	0.941	0.18934998	Ndufb1-ps	other	NMPs
5.96E-06	0.480699859	0.437	0.286	0.191179465	Scd1	other	NMPs
6.07E-06	0.616749107	0.299	0.169	0.194536949	Pfn2	other	NMPs
6.20E-06	0.532411011	0.427	0.28	0.19882923	Arpc1b	other	NMPs
6.59E-06	0.234770621	0.951	0.888	0.211264144	Chchd1	other	NMPs
6.95E-06	0.263941964	0.883	0.791	0.222858679	Hnrnpf	other	NMPs
7.06E-06	0.344576723	0.618	0.457	0.226512478	Aopep	other	NMPs
7.13E-06	0.535456853	0.399	0.253	0.228766583	9530068E07Rik	other	NMPs
7.16E-06	0.410232215	0.635	0.477	0.229626996	Lsm1	other	NMPs
7.30E-06	-1.001227484	0.168	0.27	0.23427961	Atp1a2	other	NMPs
7.50E-06	-0.683311176	0.333	0.444	0.240698758	Nr6a1	other	NMPs
7.55E-06	0.589261251	0.359	0.221	0.24232313	Sri	other	NMPs
7.75E-06	0.252051823	0.917	0.831	0.248603434	Ndufb11	other	NMPs
8.13E-06	0.351213392	0.786	0.653	0.260676725	Sdhb	other	NMPs
8.14E-06	-0.263388782	0.919	0.916	0.261207117	Pnn	other	NMPs
8.15E-06	0.32580206	0.828	0.683	0.261360327	Tmem14c	other	NMPs
8.27E-06	0.217503823	0.941	0.928	0.265248073	Rsl1d1	other	NMPs
8.28E-06	0.792555596	0.206	0.102	0.265454767	Tom1l1	other	NMPs
8.87E-06	0.236436131	0.981	0.936	0.284506608	C1qbp	other	NMPs
9.06E-06	0.498655788	0.49	0.335	0.290475361	Sqle	other	NMPs
9.06E-06	1.334471559	0.119	0.045	0.290689459	Mgst3	other	NMPs
9.23E-06	0.83081265	0.212	0.107	0.295935556	Zfp280c	other	NMPs
1.02E-05	0.324419769	0.805	0.712	0.327824189	Lsm12	other	NMPs
1.05E-05	-0.490311936	0.537	0.62	0.335985718	Bcl7c	other	NMPs
1.05E-05	0.120997168	1	1	0.336997003	Eif5a	other	NMPs
1.05E-05	0.870945829	0.189	0.094	0.33755532	D130058E05Rik	other	NMPs
1.05E-05	-1.949438063	0.023	0.087	0.337979595	Ccdc15	other	NMPs
1.07E-05	0.504486035	0.51	0.348	0.342710903	Mrpl22	other	NMPs
1.11E-05	-0.26908809	0.875	0.879	0.354895541	Gm14303	other	NMPs
1.12E-05	0.517806133	0.403	0.251	0.359868758	Snap23	other	NMPs
1.12E-05	0.479940059	0.361	0.224	0.360085893	Epha4	other	NMPs
1.13E-05	1.238469302	0.132	0.054	0.363302319	Tshz2	other	NMPs
1.13E-05	0.229183866	0.955	0.928	0.363461622	Psmb3	other	NMPs
1.14E-05	0.097494926	1	1	0.366433396	Rps13	other	NMPs
1.14E-05	0.254224628	0.928	0.886	0.367084577	Ptms	other	NMPs
1.19E-05	0.238063469	0.926	0.866	0.382868823	Vdac2	other	NMPs
1.27E-05	1.30377375	0.091	0.028	0.408691273	Tmem158	other	NMPs
1.31E-05	-0.42600677	0.58	0.657	0.418777817	Ddx17	other	NMPs
1.31E-05	0.401485802	0.452	0.298	0.419786199	Rpp30	other	NMPs
1.37E-05	-0.192537411	0.983	0.985	0.439171642	St13	other	NMPs
1.47E-05	0.31340057	0.794	0.677	0.470960466	Psmd13	other	NMPs
1.47E-05	0.36668041	0.756	0.638	0.47180512	Vcan	other	NMPs
1.48E-05	0.204673526	0.972	0.958	0.473840113	Nhp2	other	NMPs
1.50E-05	-0.820784948	0.291	0.382	0.479611551	Inip	other	NMPs
1.52E-05	-0.170172551	0.989	0.992	0.488671891	Atp5k	other	NMPs
1.54E-05	0.11484653	1	0.998	0.494466627	Hspe1	other	NMPs
1.58E-05	0.266623009	0.9	0.827	0.506266686	Zcrb1	other	NMPs
1.58E-05	0.406453892	0.631	0.494	0.506630464	Vrk1	other	NMPs
1.58E-05	0.417276614	0.715	0.585	0.507570459	Spc24	other	NMPs
1.61E-05	0.400501216	0.537	0.375	0.51602234	Dbnl	other	NMPs
1.62E-05	-0.103419999	1	1	0.51946328	Rps17	other	NMPs
1.66E-05	0.244671912	0.953	0.921	0.531613542	Uqcrb	other	NMPs
1.67E-05	0.71130438	0.217	0.112	0.535990045	Cth	other	NMPs
1.68E-05	0.513482719	0.501	0.35	0.537256363	Gadd45gip1	other	NMPs
1.73E-05	-0.092702469	1	1	0.555837975	Rpl12	other	NMPs
1.78E-05	0.149596236	0.996	0.985	0.572337013	Hypk	other	NMPs
1.79E-05	0.095701414	1	1	0.574406493	Rpl21	other	NMPs
